Scenario,Sub,Water,TSS,TP,TN,NO3
BC1,7,1591,203.377,0.747,1,0.403
BC1,8,17.78,421.822,1.826,4.572,1.554
BC1,9,32.76,301.953,1.664,3.661,1.191
BC1,10,35.04,820.931,3.223,4.65,1.937
BC1,11,93.32,672.219,1.077,1.718,0.631
BC1,12,102.2,1324.639,5.693,6.126,1.758
BC1,13,82.94,886.592,6.508,8.805,1.064
BC1,14,1576,204.26,0.736,0.992,0.348
BC1,15,195.3,595.594,3.215,4.609,0.822
BC1,16,117,497.586,1.143,1.625,0.432
BC1,17,333.6,590.153,2.369,3.262,0.568
BC1,18,216.5,639.915,3.052,4.154,0.642
BC1,19,118.6,69.288,4.108,5.309,1.322
BC1,20,119.6,103.483,1.573,2.127,0.433
BC1,21,41.06,934.627,2.157,3.429,0.46
BC1,22,165.2,275.573,1.68,2.386,0.466
BC1,23,36.53,234.354,0.933,1.904,0.52
BC1,24,361.2,754.088,2.533,3.153,0.61
BC1,25,140.4,597.389,3.136,1.964,0.502
BC1,26,138.9,1214.625,1.03,0.872,0.292
BC1,27,67.04,402.261,1.275,2.273,0.265
BC1,28,699.7,177.38,0.907,1.29,0.275
BC1,29,99.7,278.768,3.18,1.354,0.5
BC1,30,43.49,311.729,0.58,1.827,0.577
BC1,31,94.04,344.08,0.348,1.224,0.546
BC1,32,119.2,958.357,0.955,1.045,0.37
BC1,33,50.92,27.677,4.43,0.999,0.62
BC1,34,17.46,143.892,0.982,1.899,1.195
BC1,35,111.6,159.299,0.531,0.924,0.521
BC1,36,1390,135.53,0.396,0.802,0.271
BC1,37,101.7,144.989,0.487,0.822,0.455
BC1,38,33.66,1556.506,4.106,4.609,0.544
BC1,39,35.42,59.428,0.349,1.315,0.935
BC1,40,36.48,71.481,0.304,0.604,0.158
BC1,41,20.19,146.964,0.447,0.919,0.494
BC1,42,829.6,81.662,0.646,1.108,0.27
BC1,43,851.6,98.535,0.469,0.889,0.232
BC1,44,33.33,302.114,0.414,0.764,0.228
BC1,45,26.97,1097.327,1.1,1.849,0.337
BC1,46,905.5,463.133,0.487,0.998,0.227
BC1,47,866.7,98.331,0.484,0.972,0.26
BC1,48,48.1,114.778,0.413,0.971,0.5
BC1,49,1328,187.294,0.351,0.783,0.179
BC1,50,1317,134.753,0.413,0.885,0.221
BC1,51,1253,289.336,0.412,0.847,0.22
BC1,52,88.99,278.199,1.056,1.481,0.495
BC1,53,1182,950.145,0.699,1.164,0.328
BC1,54,24.17,330.733,1.462,1.359,0.399
BC1,55,982.1,297.572,0.477,0.995,0.24
HH3,1,23.23,113.133,0.384,7.478,6.529
HH3,2,26.21,201.365,0.63,4.778,4.182
HH3,3,1947,62.022,0.872,5.068,4.116
HH3,4,62.79,317.969,0.369,3.108,2.688
HH3,5,72.87,55.062,0.8,5.707,4.573
HH3,6,69.06,159.103,0.86,5.841,4.739
HH3,7,1915,181.337,1.028,5.046,4.134
HH3,8,19.18,302.527,1.579,5.33,3.621
HH3,9,34.94,185.282,1.29,5.414,3.973
HH3,10,38.31,443.909,2.29,4.698,3.445
HH3,11,111.2,856.606,1.27,3.964,2.917
HH3,12,116.3,698.624,4.067,5.3,2.85
HH3,13,87.31,448.505,3.939,4.163,1.084
HH3,14,1898,178.103,1.028,5.008,4.004
HH3,15,223.5,358.874,1.958,2.832,1.349
HH3,16,138.2,231.398,1.165,3.293,2.231
HH3,17,385.3,414.94,1.733,2.859,1.54
HH3,18,247,517.319,2.066,2.617,1.155
HH3,19,136.7,46.087,2.505,5.027,2.828
HH3,20,137.6,91.151,1.517,3.283,1.72
HH3,21,48.18,520.969,1.502,5.535,3.977
HH3,22,192.2,179.292,1.5,3.914,2.413
HH3,23,41.33,169.891,1.102,3.836,2.528
HH3,24,421.6,541.459,1.918,3.212,1.958
HH3,25,163.3,261.06,2.613,3.921,3.211
HH3,26,153.1,1022.843,0.909,1.248,0.956
HH3,27,85.4,306.97,0.913,1.603,0.908
HH3,28,807.6,104.62,0.966,2.367,1.501
HH3,29,119.3,179.384,2.78,4.134,3.632
HH3,30,46.25,152.319,0.406,1.226,0.876
HH3,31,101.5,184.843,0.27,1.031,0.827
HH3,32,130.6,799.964,0.843,1.198,0.892
HH3,33,58.16,58.248,3.855,3.744,3.388
HH3,34,19.8,177.079,1.269,6.812,6.167
HH3,35,133.2,159.824,0.738,3.848,3.537
HH3,36,1683,148.109,0.805,5.024,3.952
HH3,37,119.2,146.877,0.624,3.597,3.314
HH3,38,35.92,502.016,3.019,3.115,1.408
HH3,39,44.62,112.49,0.753,6.237,6.046
HH3,40,39.78,85.967,0.383,2.138,1.813
HH3,41,27.17,170.111,0.607,15.337,14.966
HH3,42,968.7,61.254,0.838,2.521,1.668
HH3,43,998.4,72.57,0.745,2.398,1.594
HH3,44,36.41,176.636,0.458,2.269,1.992
HH3,45,32.02,640.394,0.816,3.218,2.399
HH3,46,1062,109.638,0.722,2.492,1.56
HH3,47,1018,74.887,0.77,2.538,1.647
HH3,48,64.34,111.351,0.638,11.889,11.513
HH3,49,1608,265.839,0.774,4.9,3.676
HH3,50,1594,178.573,0.804,4.962,3.812
HH3,51,1503,99.877,0.823,4.85,3.76
HH3,52,115.1,187.94,1.04,12.26,11.685
HH3,53,1420,196.759,0.928,4.992,3.891
HH3,54,38.41,182.505,1.179,2.339,1.922
HH3,55,1148,102.567,0.725,3.144,2.199
